id,cin,filenum,firstname,lastname,active,address,birthdate,city,createdon,gender,insured,job,landline,mobile,postalcode,createdby,email
214,V0048076,D214,Archibold,Beumant,1,97 Carpenter Plaza,1979-01-07,,,F,1,,670-374-4805,901-161-7228,71509,,
215,GI156837,D215,Dallas,Lamanby,0,54528 Fordem Pass,1957-02-25,,,M,0,,0,982-491-4032,86388,,
216,UG904681,D216,Katalin,Staff,1,182 Ilene Pass,1989-03-30,,,M,1,,596-116-2514,542-178-5313,67640,,
217,NJ377163,D217,Joelle,Karet,1,769 Pond Lane,2002-11-16,,,F,1,,0,391-431-8394,60917,,
218,JK868294,D218,Arnold,Jilkes,0,2 Clyde Gallagher Way,1991-07-04,,,F,0,,136-535-3265,899-176-0246,56958,,
219,JX330909,D219,Jasen,Pavinese,0,0 Holmberg Park,1990-07-02,,,M,0,,113-608-6652,793-100-4831,40691,,
220,CX579981,D220,Bethina,Windley,1,5954 Marquette Crossing,2017-06-04,,,M,0,,462-686-1725,518-499-4094,28140,,
221,S3898832,D221,Corinne,Dabel,1,03335 Buhler Street,1971-07-01,,,F,1,,464-182-0415,149-598-2353,73881,,
222,RL156972,D222,Bald,Duke,0,7287 Manitowish Center,2015-12-23,,,F,1,,708-832-6283,514-312-6080,63293,,
223,SI510362,D223,Amber,Birds,0,283 Morningstar Alley,1951-05-08,,,F,1,,877-992-0180,813-271-8440,21197,,
224,QG153872,D224,Durant,Stevings,1,3419 Texas Road,2010-09-11,,,M,1,,303-109-7923,730-289-7091,70304,,
225,AE565823,D225,Carroll,Dron,0,84726 Welch Pass,1965-09-08,,,M,1,,855-534-9669,892-646-9642,36995,,
226,M5828226,D226,Jenilee,Vamplew,0,448 Roxbury Road,2003-02-06,,,M,0,,268-768-6380,941-747-6648,93432,,
227,AG630295,D227,Natal,Ornillos,1,2 Northfield Street,1973-11-15,,,F,0,,654-857-0616,566-962-7923,11753,,
228,QM198983,D228,Romola,O' Borne,1,11 Ryan Alley,2009-03-16,,,F,0,,431-993-0062,708-702-2559,46550,,
229,MH953686,D229,Dion,Lochead,0,744 Jenifer Circle,2005-06-28,,,F,0,,405-375-4199,284-928-0977,42682,,
230,GV318071,D230,Hewe,Fransinelli,0,14344 Monument Trail,1958-04-27,,,M,1,,520-147-8491,833-247-2666,36112,,
231,YF024062,D231,Myranda,Biggs,1,7932 School Drive,1992-10-20,,,M,0,,0,446-302-9378,94540,,
232,LS614089,D232,Adham,Haps,1,14034 Sunnyside Road,2017-12-10,,,M,0,,0,423-721-2115,90718,,
233,JJ980168,D233,Marlon,Hail,1,18233 Saint Paul Park,1982-12-04,,,M,0,,860-366-0609,442-333-9100,49184,,
234,X8798803,D234,Karisa,Denziloe,0,960 Fairview Center,1963-08-19,,,M,0,,0,600-781-2509,26094,,
235,H6520235,D235,Adelbert,Bratty,0,16310 Leroy Street,1970-02-11,,,M,1,,573-526-7156,894-154-6549,50285,,
236,FJ064620,D236,Jorry,Crotty,1,478 Fallview Alley,2004-04-12,,,M,1,,996-939-8064,437-554-2215,50727,,
237,CZ333667,D237,Chanda,Greenstock,0,54 Aberg Parkway,1997-07-18,,,M,1,,476-468-5585,524-417-1814,28041,,
238,WE403999,D238,Madelaine,Chalfain,0,4 Buell Parkway,1967-12-25,,,F,0,,589-472-8220,150-642-7319,42248,,
239,FO208628,D239,Florence,Eames,0,36 Northwestern Way,1965-10-26,,,F,0,,637-159-9285,461-257-2757,85714,,
240,EB041461,D240,Juieta,Keogh,0,768 Badeau Pass,1974-09-02,,,F,0,,991-205-1100,906-522-2713,13712,,
241,NZ104880,D241,Pancho,Schrader,0,43532 Mallory Street,1975-12-13,,,F,0,,365-839-6818,541-610-3222,41166,,
242,ZI730837,D242,Free,Faulkener,0,19 Stone Corner Lane,1961-02-12,,,F,0,,729-150-4859,903-495-9259,17983,,
243,W1175403,D243,Cully,Dax,1,6 Manufacturers Crossing,1964-02-06,,,M,0,,983-237-7632,259-962-2420,34783,,
244,WX648011,D244,Hertha,Grestie,0,83 Division Plaza,1996-08-23,,,M,1,,0,200-696-2213,67975,,
245,RB546431,D245,Anne,Grevatt,0,0148 Debs Circle,2007-09-19,,,M,1,,122-801-7319,195-750-3631,19788,,
246,AA977653,D246,Isaiah,Skeech,1,65 Summit Circle,2006-07-25,,,M,0,,0,905-397-8637,71184,,
247,V5197734,D247,Nealson,Goburn,0,52796 Charing Cross Hill,2012-10-30,,,F,0,,0,932-696-1245,66053,,
248,XK177208,D248,Rory,Coldridge,1,458 Dennis Court,1966-02-16,,,F,0,,0,293-508-6987,84008,,
249,WJ182492,D249,Sabina,Krolle,0,97 Roth Park,2015-06-25,,,F,0,,699-477-1271,401-453-4289,69601,,
250,DF244335,D250,Germain,Bullocke,1,60 Fairfield Parkway,1968-07-28,,,M,0,,165-147-4844,719-209-8614,39816,,
251,HU239141,D251,Harrison,Gulberg,1,38 Talmadge Avenue,2011-07-22,,,F,1,,395-260-1137,516-427-7016,49551,,
252,JY091754,D252,Luke,Baudi,0,042 Burrows Crossing,1960-02-29,,,F,0,,897-289-8933,765-823-5525,14905,,
253,W7441915,D253,Edeline,Tune,1,464 Rigney Lane,1997-10-04,,,F,1,,181-406-9237,863-831-7157,84611,,
254,KE112967,D254,Tiffanie,Thomen,1,13881 Heath Crossing,1960-09-28,,,M,0,,629-654-5059,279-367-2951,40566,,
255,UM824268,D255,Dalston,Neames,0,63475 Northridge Alley,1957-03-11,,,F,0,,0,229-822-8786,14512,,
256,Q1976744,D256,Filip,Gronowe,1,71632 Randy Alley,1964-11-15,,,F,1,,542-211-5058,604-359-4632,86481,,
257,W1310912,D257,Bernardina,Beefon,0,7 Haas Lane,1975-01-03,,,M,0,,463-407-3613,491-893-6427,26008,,
258,XG923401,D258,Sada,Braybrooks,0,7 Lighthouse Bay Alley,1978-08-07,,,F,0,,344-146-5914,573-647-6620,11156,,
259,OC410544,D259,Zea,Burrus,0,97375 Becker Lane,1982-02-10,,,M,1,,999-599-1521,747-466-7330,26799,,
260,JL023041,D260,Debbie,Gwilliam,0,759 Everett Terrace,1955-08-02,,,F,0,,604-414-6370,668-943-8219,75953,,
261,MJ453942,D261,Elysee,Tippett,1,707 Clemons Trail,2013-06-17,,,M,0,,206-436-3864,528-987-9747,14841,,
262,KB155070,D262,Theresina,Mapstone,0,20 New Castle Drive,1961-05-30,,,F,0,,792-326-4574,232-245-3085,69011,,
263,KY285172,D263,Curran,Quin,0,45055 Springview Street,1963-08-13,,,M,1,,0,271-852-0461,27208,,
264,XF725560,D264,Clarance,Penhalurick,0,77197 Waywood Alley,1953-03-11,,,F,1,,245-685-7311,224-686-2294,40515,,
265,WF885281,D265,Shaun,Leyban,1,5 Waywood Way,2005-05-20,,,F,0,,0,245-604-5742,52982,,
266,UI951756,D266,Cherri,Marunchak,0,1 Browning Pass,2008-11-18,,,F,1,,798-212-8082,845-583-4522,62267,,
267,MW268991,D267,Lucie,Jenken,1,488 Mendota Pass,1980-01-29,,,F,1,,263-691-9347,511-382-3093,49907,,
268,E1994459,D268,Rina,Gairdner,1,8421 Elmside Road,2001-07-28,,,M,1,,838-229-8548,570-880-0869,10168,,
269,IU272923,D269,Fields,Jaume,1,0 Eggendart Junction,1994-04-11,,,F,0,,840-558-0700,622-117-9459,53799,,
270,HO389354,D270,Shalna,Janoschek,1,4 Schlimgen Road,2007-10-20,,,M,0,,727-383-7526,793-871-7499,81743,,
271,YC242002,D271,Desirae,Colvin,1,2 Park Meadow Pass,2017-03-19,,,F,1,,0,202-943-4954,59533,,
272,TL152261,D272,Flory,Neat,1,40 Gale Circle,1976-06-14,,,M,0,,663-170-5571,567-615-8065,23322,,
273,IT245831,D273,Nedi,Boltwood,1,45501 Claremont Park,1971-12-22,,,F,1,,190-882-0937,627-493-7512,34413,,
274,CO351552,D274,Farley,Casaletto,0,557 Harper Place,1983-09-21,,,F,0,,502-712-9644,659-496-8555,67352,,
275,F8990946,D275,Stu,Dri,0,49719 Eggendart Center,2008-09-07,,,M,1,,827-318-9242,550-569-6114,41978,,
276,OM376388,D276,Murdoch,Matschke,0,7022 Sunnyside Terrace,1966-04-26,,,F,1,,687-869-8614,584-726-8372,20934,,
277,UM072275,D277,Edna,Lisett,0,17 Stephen Lane,2020-11-02,,,F,1,,483-163-0342,692-398-7934,81821,,
278,B3948308,D278,Bartolemo,Bedborough,1,2081 1st Court,1953-05-05,,,M,1,,0,678-564-1033,67543,,
279,HM414934,D279,Sharlene,Simond,0,09 Esch Center,1988-08-20,,,M,1,,176-666-2980,780-994-1932,76154,,
280,R6658023,D280,Malynda,Mannie,0,874 Nova Circle,2001-07-28,,,F,1,,266-178-3657,811-432-1926,19391,,
281,F3454033,D281,Min,Bedrosian,1,713 Scofield Avenue,1959-12-13,,,F,1,,368-309-7953,741-287-2836,92707,,
282,QN262184,D282,Kamila,Dubois,0,517 Barby Place,1973-03-07,,,F,1,,0,407-171-1400,35862,,
283,TA993829,D283,Ellis,Parzizek,0,70045 Boyd Court,2001-02-20,,,F,0,,0,444-381-0203,16655,,
284,PK332901,D284,Lyell,Abbatt,0,8426 Del Sol Place,1950-01-21,,,F,0,,559-676-0756,600-930-1226,49094,,
285,S9920221,D285,Care,Jacquot,0,9 Park Meadow Street,1952-07-20,,,M,1,,365-321-5749,235-686-5391,89049,,
286,CW654537,D286,Abey,McGeaney,0,7 Vermont Crossing,1986-08-18,,,F,0,,406-449-4952,922-869-0497,85562,,
287,GQ782555,D287,Seumas,Hunnywell,1,04 Dorton Center,1953-01-31,,,F,0,,724-631-9609,139-624-7051,23500,,
288,TC349474,D288,Lelia,Venediktov,0,2332 Ridge Oak Way,1963-10-15,,,M,1,,102-570-1245,292-427-4630,40854,,
289,TV313168,D289,Allard,Ravens,1,71512 Spenser Point,2003-10-18,,,M,0,,168-101-5346,852-626-1651,13630,,
290,UE663387,D290,Lowell,Van der Spohr,1,39867 Butternut Terrace,1962-06-14,,,F,1,,774-593-0757,682-338-2918,63826,,
291,H1809536,D291,Helenka,Kynastone,1,17023 Sunnyside Point,1995-12-18,,,M,1,,249-263-8813,237-140-1445,93334,,
292,LZ459350,D292,Helli,Haspineall,1,2769 Colorado Way,1992-08-16,,,M,1,,939-182-3886,371-261-0705,31489,,
293,DN733298,D293,Leanora,Clewes,0,3 Boyd Plaza,1991-01-26,,,M,1,,278-394-0333,716-175-1741,43359,,
294,VO840581,D294,Gray,Kenn,1,333 Memorial Center,1963-01-13,,,M,0,,735-728-9840,103-936-3208,81560,,
295,PN117721,D295,Any,Corking,1,3 8th Point,1969-03-31,,,M,0,,242-967-2727,123-499-6117,71666,,
296,CQ326004,D296,Christan,Dachey,1,96203 Waubesa Trail,1967-02-27,,,F,1,,923-938-9773,731-803-2342,41167,,
297,J6746018,D297,Henrie,Sapena,0,814 Algoma Point,1982-03-14,,,M,1,,815-138-3897,723-867-1595,66484,,
298,QB552057,D298,Kathi,Rantoull,1,3 Steensland Circle,1969-02-21,,,M,1,,378-405-3773,273-432-6132,41004,,
299,ML676573,D299,Coletta,Redgrave,0,38 Annamark Court,1966-09-27,,,M,0,,157-138-5589,509-179-3281,83882,,
300,ZB747392,D300,Conn,Brownstein,0,7859 American Ash Parkway,1952-06-11,,,M,1,,663-981-0984,992-556-4655,78116,,
301,PL562485,D301,Nerissa,Batrick,0,988 Straubel Point,1991-08-22,,,M,1,,258-337-8648,787-474-4450,37965,,
302,N4570663,D302,Gorden,MacManus,1,20 Fisk Trail,2019-01-02,,,M,1,,965-891-8799,520-240-8745,17978,,
303,KZ507338,D303,Tomkin,Chapellow,0,961 Maple Road,1988-05-22,,,F,0,,889-345-2421,805-890-5383,60894,,
304,U0479574,D304,Gun,Kemmey,0,83565 Gateway Hill,2015-04-08,,,M,1,,0,866-945-9583,78142,,
305,QG019543,D305,Kathlin,Collisson,1,13 Gulseth Terrace,2020-07-04,,,M,0,,614-505-0979,478-901-9311,82526,,
306,LI580423,D306,Frannie,Jikovsky,1,798 Maryland Alley,2004-04-06,,,M,1,,935-735-2398,699-132-6869,88602,,
307,V4405341,D307,Jamie,Pirozzi,0,823 Vera Plaza,1984-03-27,,,F,1,,0,182-389-3271,93767,,
308,PK165827,D308,Liva,Tudgay,0,3449 Express Center,1996-05-12,,,M,0,,508-343-7155,464-657-0204,30058,,
309,M9339740,D309,Shana,Siemens,0,5 Cordelia Avenue,2009-01-01,,,F,1,,745-605-2238,300-159-9280,27697,,
310,QB863314,D310,Wilbur,Ollander,0,7177 Reinke Court,1983-10-31,,,M,1,,0,189-825-2597,59780,,
311,KL625668,D311,Milena,Dunbabin,0,350 Iowa Trail,1987-02-26,,,F,1,,758-474-6578,194-661-9052,37530,,
312,MB344566,D312,Ferd,Dufoure,0,11011 Iowa Plaza,1977-03-30,,,M,1,,235-564-3210,133-198-7476,90562,,
313,IR483245,D313,Chery,McVittie,0,8 Corry Street,2010-06-02,,,M,0,,126-477-2762,224-363-2044,58919,,
314,Q2321576,D314,Kelsey,McKeighen,1,5 Hanson Point,1967-04-20,,,M,0,,658-476-8586,400-933-2273,70577,,
315,VA456276,D315,Sigrid,Shadbolt,0,7 Trailsway Hill,1986-08-03,,,M,1,,122-198-4881,899-601-1381,16585,,
316,GO069924,D316,Ray,McIlory,1,011 Monument Road,1983-10-20,,,F,0,,920-299-9485,585-805-4033,21834,,
317,SI735942,D317,Les,Dogg,0,7 Mosinee Parkway,1998-03-01,,,F,1,,0,769-913-2881,49445,,
318,HW649862,D318,Reyna,Jentgens,0,10 Thierer Way,1998-03-19,,,F,1,,935-885-2074,256-940-0054,50020,,
319,R1231680,D319,Frazer,Annwyl,1,86 Dixon Trail,1954-05-20,,,M,0,,400-681-7141,965-357-3786,73415,,
320,HW333192,D320,Rosamond,Spira,0,115 Colorado Point,1992-11-22,,,M,1,,515-548-1023,504-875-3313,67167,,
321,Y1802192,D321,Michal,Butterfint,0,55 Prairie Rose Crossing,1996-06-07,,,M,1,,491-362-8175,191-118-8532,93501,,
322,YJ453085,D322,Dell,MacCrosson,0,9755 Schlimgen Place,2011-11-18,,,M,0,,0,789-320-4373,65965,,
323,ZV030290,D323,Gunar,Bunford,0,3 Burrows Road,1990-09-04,,,F,0,,439-284-5370,490-293-0057,79217,,
324,MI917982,D324,Lynnet,Courteney,1,288 Tomscot Parkway,1952-06-24,,,M,1,,962-982-3196,872-711-5544,82846,,
325,HM061011,D325,Julianne,Heinrich,0,043 Kensington Avenue,2005-03-14,,,M,1,,656-529-2805,509-486-0680,32342,,
326,OX805249,D326,Roseann,Greenland,1,7191 Talisman Drive,2000-01-08,,,F,0,,209-617-8998,585-156-4485,49472,,
327,NB579818,D327,Flin,Bowerbank,1,3423 Spohn Road,2000-07-24,,,M,0,,560-167-8284,271-617-4476,84373,,
328,DS370605,D328,Erica,Hatherleigh,0,3 Pankratz Point,1981-12-25,,,M,0,,314-137-6992,275-887-2477,40970,,
329,MW956135,D329,Ephrem,Divine,1,09 Pond Park,1950-05-20,,,M,0,,206-583-5108,138-353-8723,45463,,
330,EG386139,D330,Carlina,Evesque,1,355 Forest Run Drive,1977-06-25,,,M,0,,0,710-552-7104,27965,,
331,VB334587,D331,Lemuel,Kempston,1,10705 Walton Place,1965-09-23,,,M,0,,197-693-1813,672-576-1468,15560,,
332,YM573631,D332,Ruy,Warriner,0,917 Columbus Way,1959-02-02,,,M,1,,368-416-0241,192-446-6144,48171,,
333,MZ727087,D333,Hana,Vannah,1,0 David Pass,1969-09-15,,,F,1,,823-279-9301,196-304-1693,46492,,
334,PB014038,D334,Kin,McFayden,1,2 Jana Circle,1960-03-04,,,M,0,,394-216-6468,673-861-6983,13498,,
335,Y0770134,D335,Tatiana,Harverson,0,4138 Mandrake Point,2018-10-31,,,F,1,,508-198-0703,998-164-8010,62926,,
336,ZY971096,D336,Andree,Seacombe,1,488 North Avenue,1968-08-10,,,F,1,,228-228-5795,626-145-2370,36193,,
337,G0371795,D337,Travers,Deme,1,95680 Lien Drive,2008-07-18,,,M,0,,0,980-808-8715,84567,,
338,VT779653,D338,Bren,Rickword,0,7 Kings Alley,2012-01-05,,,M,1,,993-781-0541,895-385-2969,47848,,
339,MD474019,D339,Silvana,Hallford,1,0 Portage Circle,1952-01-31,,,F,0,,0,410-991-6463,24210,,
340,MD029129,D340,Toinette,Longhurst,0,12660 Glendale Parkway,2006-01-23,,,M,0,,505-664-1850,839-220-6999,72976,,
341,O3647473,D341,Austine,Fryatt,0,6026 Sunbrook Avenue,1979-08-19,,,M,0,,268-808-9160,756-381-6611,35822,,
342,KV504183,D342,Granthem,McCaghan,1,96765 Erie Junction,1963-05-11,,,F,1,,894-831-8089,244-358-4059,25211,,
343,ID799661,D343,Ryan,Orpen,1,6 Dorton Hill,1966-07-04,,,F,1,,974-313-4655,738-605-6590,25688,,
344,PC810799,D344,Maridel,Reyson,1,56 Morningstar Parkway,1989-05-13,,,F,1,,431-300-4141,463-220-9323,58302,,
345,KZ577400,D345,Sella,Pusey,0,356 Nobel Terrace,1987-04-05,,,M,1,,792-178-9467,625-705-1814,94823,,
346,UJ644234,D346,Robbin,Corp,0,95864 Coleman Park,1993-03-26,,,F,1,,686-599-5895,399-181-9885,36839,,
347,WI190706,D347,Tarrance,Waddilow,0,04461 Steensland Street,1963-10-30,,,M,0,,291-503-5110,470-293-9979,49255,,
348,Z0135890,D348,Hartwell,Denis,1,17236 Brentwood Street,1995-12-02,,,M,1,,508-639-5967,431-849-9964,21019,,
349,HS168714,D349,Rik,Lammie,0,4951 Bay Parkway,1998-02-26,,,M,0,,234-445-0509,144-867-4180,10338,,
350,OK071134,D350,Jania,Cuming,0,69982 4th Court,1991-09-29,,,F,0,,196-194-2109,605-944-9893,56341,,
351,CZ209622,D351,Normie,Constance,1,8 Bayside Terrace,1982-02-05,,,M,1,,806-348-9596,545-269-0158,56281,,
352,T9882179,D352,Alanna,Bartosik,0,41734 Warbler Alley,1988-12-10,,,M,0,,817-903-7813,245-719-6355,15048,,
353,HN645602,D353,Vi,Kyngdon,1,8 Karstens Junction,2015-10-01,,,M,1,,0,814-903-7643,11103,,
354,MT836038,D354,Katerine,Goaks,1,37 Meadow Valley Street,2008-06-19,,,M,0,,326-637-7194,155-757-0527,74163,,
355,L0683246,D355,Theda,Mandrake,0,58396 Katie Lane,1990-01-01,,,F,0,,355-874-9658,987-422-8059,90548,,
356,XG856883,D356,Erasmus,Laimable,1,09 Bashford Point,1962-08-09,,,M,1,,882-785-5958,239-243-8080,39151,,
357,D7662796,D357,Prinz,Yitzhakof,1,4914 Cottonwood Alley,1974-07-25,,,M,1,,947-744-9711,736-524-3718,34131,,
358,ES706588,D358,Harvey,Machans,0,7124 Texas Terrace,2003-08-29,,,F,0,,891-543-9769,815-867-4467,74557,,
359,DD444120,D359,Emmeline,Letch,1,0 Jenifer Trail,2004-03-26,,,F,0,,180-557-7711,110-733-9061,33075,,
360,SP166883,D360,Meredithe,Rawcliff,1,52196 Bay Parkway,2013-02-02,,,M,0,,449-197-4315,914-413-3128,15399,,
361,KJ904725,D361,Janina,Jeandot,1,69774 Surrey Center,2007-08-26,,,F,0,,105-400-8016,329-988-9272,17720,,
362,J8441810,D362,Lenci,Kemme,0,10909 Ridgeview Pass,1961-06-22,,,M,0,,646-947-4810,202-946-6726,54587,,
363,LV892219,D363,Booth,Goodger,0,50223 Eliot Street,1965-11-17,,,M,0,,719-744-3405,650-695-6694,38514,,
364,NR021638,D364,Johnna,Devaney,1,26 Jackson Hill,1969-03-07,,,M,0,,0,881-960-3985,15338,,
365,LQ586579,D365,Clarissa,Cloney,0,873 Springs Avenue,2002-01-23,,,M,1,,507-920-5598,206-203-0204,57033,,
366,VR550920,D366,Leonidas,Hatto,0,67 Melody Point,1965-07-25,,,M,0,,122-874-1889,715-848-7670,90420,,
367,H4966660,D367,Eddy,Tenby,0,4616 Kennedy Plaza,2014-03-13,,,F,0,,158-677-0469,785-391-7442,94729,,
368,D8212601,D368,Baxter,Gobbett,1,16017 Bartillon Alley,1995-10-22,,,F,1,,155-306-4501,261-737-8744,94724,,
369,CZ211531,D369,Eleen,Sibbet,0,55170 Shoshone Avenue,1997-08-20,,,F,1,,329-122-7884,615-503-0576,68624,,
370,R3984701,D370,Timofei,Mulrooney,1,21220 Darwin Lane,1964-12-01,,,M,0,,539-740-5326,865-463-0637,14323,,
371,FH471920,D371,Dalton,Clyne,1,1 Delaware Hill,1970-05-19,,,M,0,,523-302-0870,307-589-1905,12801,,
372,PH090167,D372,Timothea,Buzzing,1,6004 Alpine Point,1964-07-19,,,F,1,,0,607-690-0709,49007,,
373,YP751960,D373,Tessie,Louiset,1,979 Cambridge Street,1968-06-08,,,F,0,,0,715-499-1913,52064,,
374,IS449334,D374,Gerek,Ashurst,1,81123 Moulton Court,1993-07-19,,,F,1,,415-758-1420,596-263-2843,32283,,
375,ML353117,D375,Nana,Bullard,0,0129 Onsgard Trail,1999-03-18,,,F,1,,566-205-1730,129-372-7850,49572,,
376,WW578113,D376,Valera,Midlane,1,13244 Nelson Center,1995-01-31,,,F,0,,483-162-9167,790-559-8347,82440,,
377,OV000947,D377,Alina,Kopfen,1,9902 Westerfield Court,1992-05-10,,,M,1,,564-993-8044,251-300-1379,78153,,
378,C3682119,D378,Rhys,Chancellor,0,31635 Roxbury Point,2018-05-17,,,F,1,,596-546-2995,377-175-6720,84037,,
379,QP822690,D379,Garwood,Gwinnett,0,34 Randy Circle,2000-09-15,,,F,0,,168-415-2367,251-400-8344,71076,,
380,OX966291,D380,Minnnie,Schutte,1,95071 Hoard Drive,1996-05-01,,,F,1,,938-164-6202,798-632-0637,85530,,
381,MG204861,D381,Coretta,Grzegorecki,0,6763 Upham Avenue,1980-09-27,,,M,0,,973-145-0771,307-163-7370,36857,,
382,UD773817,D382,Joey,Emlyn,1,31435 Graedel Park,1954-09-29,,,F,0,,0,108-355-3550,12145,,
383,P0885528,D383,Addy,Wenderoth,1,84 4th Road,1981-01-29,,,F,0,,881-644-5939,108-272-9649,55620,,
384,F5041730,D384,Keely,Buckthorpe,0,0 Lighthouse Bay Road,1951-04-01,,,F,1,,198-852-0909,294-919-4484,84017,,
385,O3327630,D385,Emlyn,Kinder,1,005 Hagan Place,2006-05-29,,,M,1,,635-391-5214,817-929-3722,70938,,
386,XK286243,D386,Leelah,Helbeck,0,7 Sunfield Court,2003-07-15,,,M,0,,999-502-8320,468-654-7235,35289,,
387,QC921968,D387,Evy,Dunsire,1,9929 Browning Way,1963-11-21,,,M,0,,972-785-5502,204-179-5494,13190,,
388,RC236513,D388,Emmet,Thorpe,0,12464 Sunfield Park,1970-01-15,,,F,1,,134-617-3835,259-177-1806,24377,,
389,ZV501124,D389,Nettie,Dillestone,1,08 Rowland Road,2019-10-30,,,M,1,,776-886-2492,999-468-9111,67055,,
390,LB757693,D390,Henrieta,MacGinley,0,94 Corscot Avenue,1974-03-11,,,F,0,,961-644-6701,657-916-9186,20647,,
391,NU950641,D391,Yule,Hryniewicz,1,380 Crowley Pass,1993-02-06,,,M,1,,577-344-7238,661-380-0094,17098,,
392,FG225136,D392,Hoyt,Yong,0,74 Goodland Park,2013-09-12,,,F,1,,774-835-4757,868-220-9292,29669,,
393,AO574851,D393,Kitti,Falco,1,59338 Delladonna Hill,1977-04-20,,,F,1,,455-830-1584,283-187-0610,76694,,
394,YZ239539,D394,Bonnie,Delcastel,0,0308 Prairieview Point,1970-02-01,,,M,0,,571-967-9756,579-652-8495,86473,,
395,JJ851189,D395,Garwood,O'Kennavain,0,905 Springs Parkway,1952-06-09,,,M,0,,383-176-2927,122-369-0687,62455,,
396,DW645139,D396,Spenser,Rulten,0,13886 Oriole Trail,2004-10-04,,,F,0,,203-901-0643,669-523-5030,88708,,
397,J5934515,D397,Samara,Tutin,1,321 Autumn Leaf Road,1997-04-06,,,M,1,,0,157-327-9705,10358,,
398,EJ176622,D398,Kathryne,Frowen,1,521 Grayhawk Point,1961-01-26,,,F,0,,222-808-6830,530-380-5347,65180,,
399,E3402376,D399,Rowland,Suero,0,627 Bunting Alley,2000-02-20,,,M,1,,969-748-0188,409-805-7010,88487,,
400,JH030191,D400,Phillipp,Freiburger,1,131 Esker Lane,1982-08-15,,,F,0,,0,130-276-5983,81964,,
401,VW112970,D401,Skippy,Fulkes,1,77595 Stone Corner Court,2017-01-03,,,F,0,,294-651-2089,883-957-3359,79037,,
402,P4570501,D402,Ilene,Whittenbury,0,03 Meadow Ridge Circle,1958-10-26,,,F,0,,196-922-1566,895-672-5457,10157,,
403,TU033390,D403,Fanni,Burborough,1,33912 Fordem Way,1957-02-19,,,M,0,,870-920-3652,864-567-8068,16235,,
404,JZ779860,D404,Shirleen,Provost,1,0401 Kingsford Parkway,1962-08-07,,,M,0,,0,662-833-7834,92863,,
405,K6604931,D405,Sonnie,Irnys,0,49589 Johnson Center,1955-09-25,,,F,0,,582-174-7482,962-716-5212,56702,,
406,CJ479259,D406,Brunhilde,Gaucher,1,418 Manitowish Alley,1973-12-05,,,M,1,,238-847-2474,845-950-4301,72041,,
407,LC643262,D407,Nelson,Selby,1,57 Aberg Pass,2008-12-03,,,M,0,,563-791-0500,230-151-2095,47364,,
408,X8087411,D408,Erny,Tanner,0,25 Fulton Park,1961-08-29,,,F,0,,0,274-153-8383,26761,,
409,X5758039,D409,Wendall,Van Arsdalen,0,53 Mallard Park,1983-09-23,,,M,0,,0,593-138-8545,44347,,
410,MQ794457,D410,Eyde,Maase,1,934 Sloan Park,2013-04-15,,,F,0,,446-465-2162,267-886-3679,16665,,
411,RG546971,D411,Gabby,Gutridge,0,04 Calypso Terrace,1980-02-11,,,F,0,,222-278-6637,864-371-1146,15864,,
412,GV707388,D412,Bartlet,Luety,1,10 Debra Lane,1982-06-12,,,M,0,,901-334-1449,662-170-6977,22869,,
413,GL119238,D413,Tildi,Kenyam,0,26 Walton Parkway,1960-03-18,,,M,0,,384-537-9571,850-110-9475,63776,,
414,VP356296,D414,Gale,Drinan,1,3 Stoughton Point,1962-02-20,,,M,0,,0,167-985-2618,91947,,
415,CR139137,D415,Dianna,Sutliff,0,73010 4th Hill,2013-08-10,,,F,0,,0,387-454-0646,45858,,
416,PV152162,D416,Clemence,Cluelow,1,7835 Moose Point,1969-04-02,,,M,1,,0,481-655-4058,25542,,
417,TX353663,D417,Carolus,Carlett,1,266 Old Shore Center,1962-04-27,,,F,0,,565-756-8112,195-511-2991,38627,,
418,JE117127,D418,Maggie,Dielhenn,1,42744 Summit Court,1997-05-18,,,M,0,,537-979-4293,927-418-5937,87134,,
419,JF372302,D419,Niles,Hurdle,1,53601 Dryden Terrace,1988-04-12,,,M,1,,111-801-9481,875-380-6313,14428,,
420,V1320433,D420,Garek,Kimmings,1,95 Havey Circle,1970-12-18,,,M,1,,602-491-0938,450-485-5546,63151,,
421,LI545882,D421,Fawnia,Van Baaren,1,1003 Randy Pass,1983-08-22,,,M,1,,875-797-3707,630-921-4846,41277,,
422,G0840987,D422,Dalt,Fain,0,977 Sloan Circle,2017-10-01,,,F,0,,723-582-9308,225-474-2617,76736,,
423,LJ751861,D423,Lynda,Spira,1,473 Fairview Trail,1998-07-04,,,F,1,,301-232-3982,933-340-7692,63561,,
424,ZL662540,D424,Adaline,Husbands,1,3 Lakeland Drive,1994-08-14,,,F,1,,799-706-6651,163-371-4735,11254,,
425,B3011200,D425,Walther,Shales,1,545 Novick Pass,1957-05-08,,,F,1,,385-311-3099,490-344-6163,43795,,
426,M7532726,D426,Alphard,Burchmore,1,9 Reindahl Center,1988-01-08,,,F,1,,220-491-1087,232-203-8930,64536,,
427,QB464516,D427,Adorne,Bonett,1,24099 Fisk Crossing,1961-03-05,,,F,0,,127-479-9869,517-818-9427,53238,,
