id,active,address,birthdate,cin,city,createdon,filenum,firstname,gender,insured,job,landline,lastname,mobile,postalcode,createdby,email
216,t,182 Ilene Pass,1989-03-30,UG904681,,,D216,Katalin,M,t,,596-116-2514,Staff,542-178-5313,67640,,
217,t,769 Pond Lane,2002-11-16,NJ377163,,,D217,Joelle,F,t,,0,Karet,391-431-8394,60917,,
218,f,2 Clyde Gallagher Way,1991-07-04,JK868294,,,D218,Arnold,F,f,,136-535-3265,Jilkes,899-176-0246,56958,,
219,f,0 Holmberg Park,1990-07-02,JX330909,,,D219,Jasen,M,f,,113-608-6652,Pavinese,793-100-4831,40691,,
220,t,5954 Marquette Crossing,2017-06-04,CX579981,,,D220,Bethina,M,f,,462-686-1725,Windley,518-499-4094,28140,,
221,t,03335 Buhler Street,1971-07-01,S3898832,,,D221,Corinne,F,t,,464-182-0415,Dabel,149-598-2353,73881,,
222,f,7287 Manitowish Center,2015-12-23,RL156972,,,D222,Bald,F,t,,708-832-6283,Duke,514-312-6080,63293,,
223,f,283 Morningstar Alley,1951-05-08,SI510362,,,D223,Amber,F,t,,877-992-0180,Birds,813-271-8440,21197,,
224,t,3419 Texas Road,2010-09-11,QG153872,,,D224,Durant,M,t,,303-109-7923,Stevings,730-289-7091,70304,,
225,f,84726 Welch Pass,1965-09-08,AE565823,,,D225,Carroll,M,t,,855-534-9669,Dron,892-646-9642,36995,,
226,f,448 Roxbury Road,2003-02-06,M5828226,,,D226,Jenilee,M,f,,268-768-6380,Vamplew,941-747-6648,93432,,
227,t,2 Northfield Street,1973-11-15,AG630295,,,D227,Natal,F,f,,654-857-0616,Ornillos,566-962-7923,11753,,
228,t,11 Ryan Alley,2009-03-16,QM198983,,,D228,Romola,F,f,,431-993-0062,O' Borne,708-702-2559,46550,,
229,f,744 Jenifer Circle,2005-06-28,MH953686,,,D229,Dion,F,f,,405-375-4199,Lochead,284-928-0977,42682,,
230,f,14344 Monument Trail,1958-04-27,GV318071,,,D230,Hewe,M,t,,520-147-8491,Fransinelli,833-247-2666,36112,,
231,t,7932 School Drive,1992-10-20,YF024062,,,D231,Myranda,M,f,,0,Biggs,446-302-9378,94540,,
232,t,14034 Sunnyside Road,2017-12-10,LS614089,,,D232,Adham,M,f,,0,Haps,423-721-2115,90718,,
233,t,18233 Saint Paul Park,1982-12-04,JJ980168,,,D233,Marlon,M,f,,860-366-0609,Hail,442-333-9100,49184,,
234,f,960 Fairview Center,1963-08-19,X8798803,,,D234,Karisa,M,f,,0,Denziloe,600-781-2509,26094,,
235,f,16310 Leroy Street,1970-02-11,H6520235,,,D235,Adelbert,M,t,,573-526-7156,Bratty,894-154-6549,50285,,
236,t,478 Fallview Alley,2004-04-12,FJ064620,,,D236,Jorry,M,t,,996-939-8064,Crotty,437-554-2215,50727,,
237,f,54 Aberg Parkway,1997-07-18,CZ333667,,,D237,Chanda,M,t,,476-468-5585,Greenstock,524-417-1814,28041,,
238,f,4 Buell Parkway,1967-12-25,WE403999,,,D238,Madelaine,F,f,,589-472-8220,Chalfain,150-642-7319,42248,,
239,f,36 Northwestern Way,1965-10-26,FO208628,,,D239,Florence,F,f,,637-159-9285,Eames,461-257-2757,85714,,
240,f,768 Badeau Pass,1974-09-02,EB041461,,,D240,Juieta,F,f,,991-205-1100,Keogh,906-522-2713,13712,,
241,f,43532 Mallory Street,1975-12-13,NZ104880,,,D241,Pancho,F,f,,365-839-6818,Schrader,541-610-3222,41166,,
242,f,19 Stone Corner Lane,1961-02-12,ZI730837,,,D242,Free,F,f,,729-150-4859,Faulkener,903-495-9259,17983,,
243,t,6 Manufacturers Crossing,1964-02-06,W1175403,,,D243,Cully,M,f,,983-237-7632,Dax,259-962-2420,34783,,
244,f,83 Division Plaza,1996-08-23,WX648011,,,D244,Hertha,M,t,,0,Grestie,200-696-2213,67975,,
245,f,0148 Debs Circle,2007-09-19,RB546431,,,D245,Anne,M,t,,122-801-7319,Grevatt,195-750-3631,19788,,
246,t,65 Summit Circle,2006-07-25,AA977653,,,D246,Isaiah,M,f,,0,Skeech,905-397-8637,71184,,
247,f,52796 Charing Cross Hill,2012-10-30,V5197734,,,D247,Nealson,F,f,,0,Goburn,932-696-1245,66053,,
248,t,458 Dennis Court,1966-02-16,XK177208,,,D248,Rory,F,f,,0,Coldridge,293-508-6987,84008,,
249,f,97 Roth Park,2015-06-25,WJ182492,,,D249,Sabina,F,f,,699-477-1271,Krolle,401-453-4289,69601,,
250,t,60 Fairfield Parkway,1968-07-28,DF244335,,,D250,Germain,M,f,,165-147-4844,Bullocke,719-209-8614,39816,,
251,t,38 Talmadge Avenue,2011-07-22,HU239141,,,D251,Harrison,F,t,,395-260-1137,Gulberg,516-427-7016,49551,,
252,f,042 Burrows Crossing,1960-02-29,JY091754,,,D252,Luke,F,f,,897-289-8933,Baudi,765-823-5525,14905,,
253,t,464 Rigney Lane,1997-10-04,W7441915,,,D253,Edeline,F,t,,181-406-9237,Tune,863-831-7157,84611,,
254,t,13881 Heath Crossing,1960-09-28,KE112967,,,D254,Tiffanie,M,f,,629-654-5059,Thomen,279-367-2951,40566,,
255,f,63475 Northridge Alley,1957-03-11,UM824268,,,D255,Dalston,F,f,,0,Neames,229-822-8786,14512,,
256,t,71632 Randy Alley,1964-11-15,Q1976744,,,D256,Filip,F,t,,542-211-5058,Gronowe,604-359-4632,86481,,
257,f,7 Haas Lane,1975-01-03,W1310912,,,D257,Bernardina,M,f,,463-407-3613,Beefon,491-893-6427,26008,,
258,f,7 Lighthouse Bay Alley,1978-08-07,XG923401,,,D258,Sada,F,f,,344-146-5914,Braybrooks,573-647-6620,11156,,
259,f,97375 Becker Lane,1982-02-10,OC410544,,,D259,Zea,M,t,,999-599-1521,Burrus,747-466-7330,26799,,
260,f,759 Everett Terrace,1955-08-02,JL023041,,,D260,Debbie,F,f,,604-414-6370,Gwilliam,668-943-8219,75953,,
261,t,707 Clemons Trail,2013-06-17,MJ453942,,,D261,Elysee,M,f,,206-436-3864,Tippett,528-987-9747,14841,,
262,f,20 New Castle Drive,1961-05-30,KB155070,,,D262,Theresina,F,f,,792-326-4574,Mapstone,232-245-3085,69011,,
263,f,45055 Springview Street,1963-08-13,KY285172,,,D263,Curran,M,t,,0,Quin,271-852-0461,27208,,
264,f,77197 Waywood Alley,1953-03-11,XF725560,,,D264,Clarance,F,t,,245-685-7311,Penhalurick,224-686-2294,40515,,
265,t,5 Waywood Way,2005-05-20,WF885281,,,D265,Shaun,F,f,,0,Leyban,245-604-5742,52982,,
266,f,1 Browning Pass,2008-11-18,UI951756,,,D266,Cherri,F,t,,798-212-8082,Marunchak,845-583-4522,62267,,
267,t,488 Mendota Pass,1980-01-29,MW268991,,,D267,Lucie,F,t,,263-691-9347,Jenken,511-382-3093,49907,,
268,t,8421 Elmside Road,2001-07-28,E1994459,,,D268,Rina,M,t,,838-229-8548,Gairdner,570-880-0869,10168,,
269,t,0 Eggendart Junction,1994-04-11,IU272923,,,D269,Fields,F,f,,840-558-0700,Jaume,622-117-9459,53799,,
270,t,4 Schlimgen Road,2007-10-20,HO389354,,,D270,Shalna,M,f,,727-383-7526,Janoschek,793-871-7499,81743,,
271,t,2 Park Meadow Pass,2017-03-19,YC242002,,,D271,Desirae,F,t,,0,Colvin,202-943-4954,59533,,
272,t,40 Gale Circle,1976-06-14,TL152261,,,D272,Flory,M,f,,663-170-5571,Neat,567-615-8065,23322,,
273,t,45501 Claremont Park,1971-12-22,IT245831,,,D273,Nedi,F,t,,190-882-0937,Boltwood,627-493-7512,34413,,
274,f,557 Harper Place,1983-09-21,CO351552,,,D274,Farley,F,f,,502-712-9644,Casaletto,659-496-8555,67352,,
275,f,49719 Eggendart Center,2008-09-07,F8990946,,,D275,Stu,M,t,,827-318-9242,Dri,550-569-6114,41978,,
276,f,7022 Sunnyside Terrace,1966-04-26,OM376388,,,D276,Murdoch,F,t,,687-869-8614,Matschke,584-726-8372,20934,,
277,f,17 Stephen Lane,2020-11-02,UM072275,,,D277,Edna,F,t,,483-163-0342,Lisett,692-398-7934,81821,,
278,t,2081 1st Court,1953-05-05,B3948308,,,D278,Bartolemo,M,t,,0,Bedborough,678-564-1033,67543,,
279,f,09 Esch Center,1988-08-20,HM414934,,,D279,Sharlene,M,t,,176-666-2980,Simond,780-994-1932,76154,,
280,f,874 Nova Circle,2001-07-28,R6658023,,,D280,Malynda,F,t,,266-178-3657,Mannie,811-432-1926,19391,,
281,t,713 Scofield Avenue,1959-12-13,F3454033,,,D281,Min,F,t,,368-309-7953,Bedrosian,741-287-2836,92707,,
282,f,517 Barby Place,1973-03-07,QN262184,,,D282,Kamila,F,t,,0,Dubois,407-171-1400,35862,,
283,f,70045 Boyd Court,2001-02-20,TA993829,,,D283,Ellis,F,f,,0,Parzizek,444-381-0203,16655,,
284,f,8426 Del Sol Place,1950-01-21,PK332901,,,D284,Lyell,F,f,,559-676-0756,Abbatt,600-930-1226,49094,,
285,f,9 Park Meadow Street,1952-07-20,S9920221,,,D285,Care,M,t,,365-321-5749,Jacquot,235-686-5391,89049,,
286,f,7 Vermont Crossing,1986-08-18,CW654537,,,D286,Abey,F,f,,406-449-4952,McGeaney,922-869-0497,85562,,
287,t,04 Dorton Center,1953-01-31,GQ782555,,,D287,Seumas,F,f,,724-631-9609,Hunnywell,139-624-7051,23500,,
288,f,2332 Ridge Oak Way,1963-10-15,TC349474,,,D288,Lelia,M,t,,102-570-1245,Venediktov,292-427-4630,40854,,
289,t,71512 Spenser Point,2003-10-18,TV313168,,,D289,Allard,M,f,,168-101-5346,Ravens,852-626-1651,13630,,
290,t,39867 Butternut Terrace,1962-06-14,UE663387,,,D290,Lowell,F,t,,774-593-0757,Van der Spohr,682-338-2918,63826,,
291,t,17023 Sunnyside Point,1995-12-18,H1809536,,,D291,Helenka,M,t,,249-263-8813,Kynastone,237-140-1445,93334,,
292,t,2769 Colorado Way,1992-08-16,LZ459350,,,D292,Helli,M,t,,939-182-3886,Haspineall,371-261-0705,31489,,
293,f,3 Boyd Plaza,1991-01-26,DN733298,,,D293,Leanora,M,t,,278-394-0333,Clewes,716-175-1741,43359,,
294,t,333 Memorial Center,1963-01-13,VO840581,,,D294,Gray,M,f,,735-728-9840,Kenn,103-936-3208,81560,,
295,t,3 8th Point,1969-03-31,PN117721,,,D295,Any,M,f,,242-967-2727,Corking,123-499-6117,71666,,
296,t,96203 Waubesa Trail,1967-02-27,CQ326004,,,D296,Christan,F,t,,923-938-9773,Dachey,731-803-2342,41167,,
297,f,814 Algoma Point,1982-03-14,J6746018,,,D297,Henrie,M,t,,815-138-3897,Sapena,723-867-1595,66484,,
298,t,3 Steensland Circle,1969-02-21,QB552057,,,D298,Kathi,M,t,,378-405-3773,Rantoull,273-432-6132,41004,,
299,f,38 Annamark Court,1966-09-27,ML676573,,,D299,Coletta,M,f,,157-138-5589,Redgrave,509-179-3281,83882,,
300,f,7859 American Ash Parkway,1952-06-11,ZB747392,,,D300,Conn,M,t,,663-981-0984,Brownstein,992-556-4655,78116,,
301,f,988 Straubel Point,1991-08-22,PL562485,,,D301,Nerissa,M,t,,258-337-8648,Batrick,787-474-4450,37965,,
302,t,20 Fisk Trail,2019-01-02,N4570663,,,D302,Gorden,M,t,,965-891-8799,MacManus,520-240-8745,17978,,
303,f,961 Maple Road,1988-05-22,KZ507338,,,D303,Tomkin,F,f,,889-345-2421,Chapellow,805-890-5383,60894,,
304,f,83565 Gateway Hill,2015-04-08,U0479574,,,D304,Gun,M,t,,0,Kemmey,866-945-9583,78142,,
305,t,13 Gulseth Terrace,2020-07-04,QG019543,,,D305,Kathlin,M,f,,614-505-0979,Collisson,478-901-9311,82526,,
306,t,798 Maryland Alley,2004-04-06,LI580423,,,D306,Frannie,M,t,,935-735-2398,Jikovsky,699-132-6869,88602,,
307,f,823 Vera Plaza,1984-03-27,V4405341,,,D307,Jamie,F,t,,0,Pirozzi,182-389-3271,93767,,
308,f,3449 Express Center,1996-05-12,PK165827,,,D308,Liva,M,f,,508-343-7155,Tudgay,464-657-0204,30058,,
309,f,5 Cordelia Avenue,2009-01-01,M9339740,,,D309,Shana,F,t,,745-605-2238,Siemens,300-159-9280,27697,,
310,f,7177 Reinke Court,1983-10-31,QB863314,,,D310,Wilbur,M,t,,0,Ollander,189-825-2597,59780,,
311,f,350 Iowa Trail,1987-02-26,KL625668,,,D311,Milena,F,t,,758-474-6578,Dunbabin,194-661-9052,37530,,
312,f,11011 Iowa Plaza,1977-03-30,MB344566,,,D312,Ferd,M,t,,235-564-3210,Dufoure,133-198-7476,90562,,
313,f,8 Corry Street,2010-06-02,IR483245,,,D313,Chery,M,f,,126-477-2762,McVittie,224-363-2044,58919,,
314,t,5 Hanson Point,1967-04-20,Q2321576,,,D314,Kelsey,M,f,,658-476-8586,McKeighen,400-933-2273,70577,,
315,f,7 Trailsway Hill,1986-08-03,VA456276,,,D315,Sigrid,M,t,,122-198-4881,Shadbolt,899-601-1381,16585,,
316,t,011 Monument Road,1983-10-20,GO069924,,,D316,Ray,F,f,,920-299-9485,McIlory,585-805-4033,21834,,
317,f,7 Mosinee Parkway,1998-03-01,SI735942,,,D317,Les,F,t,,0,Dogg,769-913-2881,49445,,
318,f,10 Thierer Way,1998-03-19,HW649862,,,D318,Reyna,F,t,,935-885-2074,Jentgens,256-940-0054,50020,,
319,t,86 Dixon Trail,1954-05-20,R1231680,,,D319,Frazer,M,f,,400-681-7141,Annwyl,965-357-3786,73415,,
320,f,115 Colorado Point,1992-11-22,HW333192,,,D320,Rosamond,M,t,,515-548-1023,Spira,504-875-3313,67167,,
321,f,55 Prairie Rose Crossing,1996-06-07,Y1802192,,,D321,Michal,M,t,,491-362-8175,Butterfint,191-118-8532,93501,,
322,f,9755 Schlimgen Place,2011-11-18,YJ453085,,,D322,Dell,M,f,,0,MacCrosson,789-320-4373,65965,,
323,f,3 Burrows Road,1990-09-04,ZV030290,,,D323,Gunar,F,f,,439-284-5370,Bunford,490-293-0057,79217,,
324,t,288 Tomscot Parkway,1952-06-24,MI917982,,,D324,Lynnet,M,t,,962-982-3196,Courteney,872-711-5544,82846,,
325,f,043 Kensington Avenue,2005-03-14,HM061011,,,D325,Julianne,M,t,,656-529-2805,Heinrich,509-486-0680,32342,,
326,t,7191 Talisman Drive,2000-01-08,OX805249,,,D326,Roseann,F,f,,209-617-8998,Greenland,585-156-4485,49472,,
327,t,3423 Spohn Road,2000-07-24,NB579818,,,D327,Flin,M,f,,560-167-8284,Bowerbank,271-617-4476,84373,,
328,f,3 Pankratz Point,1981-12-25,DS370605,,,D328,Erica,M,f,,314-137-6992,Hatherleigh,275-887-2477,40970,,
329,t,09 Pond Park,1950-05-20,MW956135,,,D329,Ephrem,M,f,,206-583-5108,Divine,138-353-8723,45463,,
330,t,355 Forest Run Drive,1977-06-25,EG386139,,,D330,Carlina,M,f,,0,Evesque,710-552-7104,27965,,
331,t,10705 Walton Place,1965-09-23,VB334587,,,D331,Lemuel,M,f,,197-693-1813,Kempston,672-576-1468,15560,,
332,f,917 Columbus Way,1959-02-02,YM573631,,,D332,Ruy,M,t,,368-416-0241,Warriner,192-446-6144,48171,,
333,t,0 David Pass,1969-09-15,MZ727087,,,D333,Hana,F,t,,823-279-9301,Vannah,196-304-1693,46492,,
334,t,2 Jana Circle,1960-03-04,PB014038,,,D334,Kin,M,f,,394-216-6468,McFayden,673-861-6983,13498,,
335,f,4138 Mandrake Point,2018-10-31,Y0770134,,,D335,Tatiana,F,t,,508-198-0703,Harverson,998-164-8010,62926,,
336,t,488 North Avenue,1968-08-10,ZY971096,,,D336,Andree,F,t,,228-228-5795,Seacombe,626-145-2370,36193,,
337,t,95680 Lien Drive,2008-07-18,G0371795,,,D337,Travers,M,f,,0,Deme,980-808-8715,84567,,
338,f,7 Kings Alley,2012-01-05,VT779653,,,D338,Bren,M,t,,993-781-0541,Rickword,895-385-2969,47848,,
339,t,0 Portage Circle,1952-01-31,MD474019,,,D339,Silvana,F,f,,0,Hallford,410-991-6463,24210,,
340,f,12660 Glendale Parkway,2006-01-23,MD029129,,,D340,Toinette,M,f,,505-664-1850,Longhurst,839-220-6999,72976,,
341,f,6026 Sunbrook Avenue,1979-08-19,O3647473,,,D341,Austine,M,f,,268-808-9160,Fryatt,756-381-6611,35822,,
342,t,96765 Erie Junction,1963-05-11,KV504183,,,D342,Granthem,F,t,,894-831-8089,McCaghan,244-358-4059,25211,,
343,t,6 Dorton Hill,1966-07-04,ID799661,,,D343,Ryan,F,t,,974-313-4655,Orpen,738-605-6590,25688,,
344,t,56 Morningstar Parkway,1989-05-13,PC810799,,,D344,Maridel,F,t,,431-300-4141,Reyson,463-220-9323,58302,,
345,f,356 Nobel Terrace,1987-04-05,KZ577400,,,D345,Sella,M,t,,792-178-9467,Pusey,625-705-1814,94823,,
346,f,95864 Coleman Park,1993-03-26,UJ644234,,,D346,Robbin,F,t,,686-599-5895,Corp,399-181-9885,36839,,
347,f,04461 Steensland Street,1963-10-30,WI190706,,,D347,Tarrance,M,f,,291-503-5110,Waddilow,470-293-9979,49255,,
348,t,17236 Brentwood Street,1995-12-02,Z0135890,,,D348,Hartwell,M,t,,508-639-5967,Denis,431-849-9964,21019,,
349,f,4951 Bay Parkway,1998-02-26,HS168714,,,D349,Rik,M,f,,234-445-0509,Lammie,144-867-4180,10338,,
350,f,69982 4th Court,1991-09-29,OK071134,,,D350,Jania,F,f,,196-194-2109,Cuming,605-944-9893,56341,,
351,t,8 Bayside Terrace,1982-02-05,CZ209622,,,D351,Normie,M,t,,806-348-9596,Constance,545-269-0158,56281,,
352,f,41734 Warbler Alley,1988-12-10,T9882179,,,D352,Alanna,M,f,,817-903-7813,Bartosik,245-719-6355,15048,,
353,t,8 Karstens Junction,2015-10-01,HN645602,,,D353,Vi,M,t,,0,Kyngdon,814-903-7643,11103,,
354,t,37 Meadow Valley Street,2008-06-19,MT836038,,,D354,Katerine,M,f,,326-637-7194,Goaks,155-757-0527,74163,,
355,f,58396 Katie Lane,1990-01-01,L0683246,,,D355,Theda,F,f,,355-874-9658,Mandrake,987-422-8059,90548,,
356,t,09 Bashford Point,1962-08-09,XG856883,,,D356,Erasmus,M,t,,882-785-5958,Laimable,239-243-8080,39151,,
357,t,4914 Cottonwood Alley,1974-07-25,D7662796,,,D357,Prinz,M,t,,947-744-9711,Yitzhakof,736-524-3718,34131,,
358,f,7124 Texas Terrace,2003-08-29,ES706588,,,D358,Harvey,F,f,,891-543-9769,Machans,815-867-4467,74557,,
359,t,0 Jenifer Trail,2004-03-26,DD444120,,,D359,Emmeline,F,f,,180-557-7711,Letch,110-733-9061,33075,,
360,t,52196 Bay Parkway,2013-02-02,SP166883,,,D360,Meredithe,M,f,,449-197-4315,Rawcliff,914-413-3128,15399,,
361,t,69774 Surrey Center,2007-08-26,KJ904725,,,D361,Janina,F,f,,105-400-8016,Jeandot,329-988-9272,17720,,
362,f,10909 Ridgeview Pass,1961-06-22,J8441810,,,D362,Lenci,M,f,,646-947-4810,Kemme,202-946-6726,54587,,
363,f,50223 Eliot Street,1965-11-17,LV892219,,,D363,Booth,M,f,,719-744-3405,Goodger,650-695-6694,38514,,
364,t,26 Jackson Hill,1969-03-07,NR021638,,,D364,Johnna,M,f,,0,Devaney,881-960-3985,15338,,
365,f,873 Springs Avenue,2002-01-23,LQ586579,,,D365,Clarissa,M,t,,507-920-5598,Cloney,206-203-0204,57033,,
366,f,67 Melody Point,1965-07-25,VR550920,,,D366,Leonidas,M,f,,122-874-1889,Hatto,715-848-7670,90420,,
367,f,4616 Kennedy Plaza,2014-03-13,H4966660,,,D367,Eddy,F,f,,158-677-0469,Tenby,785-391-7442,94729,,
368,t,16017 Bartillon Alley,1995-10-22,D8212601,,,D368,Baxter,F,t,,155-306-4501,Gobbett,261-737-8744,94724,,
369,f,55170 Shoshone Avenue,1997-08-20,CZ211531,,,D369,Eleen,F,t,,329-122-7884,Sibbet,615-503-0576,68624,,
370,t,21220 Darwin Lane,1964-12-01,R3984701,,,D370,Timofei,M,f,,539-740-5326,Mulrooney,865-463-0637,14323,,
371,t,1 Delaware Hill,1970-05-19,FH471920,,,D371,Dalton,M,f,,523-302-0870,Clyne,307-589-1905,12801,,
372,t,6004 Alpine Point,1964-07-19,PH090167,,,D372,Timothea,F,t,,0,Buzzing,607-690-0709,49007,,
373,t,979 Cambridge Street,1968-06-08,YP751960,,,D373,Tessie,F,f,,0,Louiset,715-499-1913,52064,,
374,t,81123 Moulton Court,1993-07-19,IS449334,,,D374,Gerek,F,t,,415-758-1420,Ashurst,596-263-2843,32283,,
375,f,0129 Onsgard Trail,1999-03-18,ML353117,,,D375,Nana,F,t,,566-205-1730,Bullard,129-372-7850,49572,,
376,t,13244 Nelson Center,1995-01-31,WW578113,,,D376,Valera,F,f,,483-162-9167,Midlane,790-559-8347,82440,,
377,t,9902 Westerfield Court,1992-05-10,OV000947,,,D377,Alina,M,t,,564-993-8044,Kopfen,251-300-1379,78153,,
378,f,31635 Roxbury Point,2018-05-17,C3682119,,,D378,Rhys,F,t,,596-546-2995,Chancellor,377-175-6720,84037,,
379,f,34 Randy Circle,2000-09-15,QP822690,,,D379,Garwood,F,f,,168-415-2367,Gwinnett,251-400-8344,71076,,
380,t,95071 Hoard Drive,1996-05-01,OX966291,,,D380,Minnnie,F,t,,938-164-6202,Schutte,798-632-0637,85530,,
381,f,6763 Upham Avenue,1980-09-27,MG204861,,,D381,Coretta,M,f,,973-145-0771,Grzegorecki,307-163-7370,36857,,
382,t,31435 Graedel Park,1954-09-29,UD773817,,,D382,Joey,F,f,,0,Emlyn,108-355-3550,12145,,
383,t,84 4th Road,1981-01-29,P0885528,,,D383,Addy,F,f,,881-644-5939,Wenderoth,108-272-9649,55620,,
384,f,0 Lighthouse Bay Road,1951-04-01,F5041730,,,D384,Keely,F,t,,198-852-0909,Buckthorpe,294-919-4484,84017,,
385,t,005 Hagan Place,2006-05-29,O3327630,,,D385,Emlyn,M,t,,635-391-5214,Kinder,817-929-3722,70938,,
386,f,7 Sunfield Court,2003-07-15,XK286243,,,D386,Leelah,M,f,,999-502-8320,Helbeck,468-654-7235,35289,,
387,t,9929 Browning Way,1963-11-21,QC921968,,,D387,Evy,M,f,,972-785-5502,Dunsire,204-179-5494,13190,,
388,f,12464 Sunfield Park,1970-01-15,RC236513,,,D388,Emmet,F,t,,134-617-3835,Thorpe,259-177-1806,24377,,
389,t,08 Rowland Road,2019-10-30,ZV501124,,,D389,Nettie,M,t,,776-886-2492,Dillestone,999-468-9111,67055,,
390,f,94 Corscot Avenue,1974-03-11,LB757693,,,D390,Henrieta,F,f,,961-644-6701,MacGinley,657-916-9186,20647,,
391,t,380 Crowley Pass,1993-02-06,NU950641,,,D391,Yule,M,t,,577-344-7238,Hryniewicz,661-380-0094,17098,,
392,f,74 Goodland Park,2013-09-12,FG225136,,,D392,Hoyt,F,t,,774-835-4757,Yong,868-220-9292,29669,,
393,t,59338 Delladonna Hill,1977-04-20,AO574851,,,D393,Kitti,F,t,,455-830-1584,Falco,283-187-0610,76694,,
394,f,0308 Prairieview Point,1970-02-01,YZ239539,,,D394,Bonnie,M,f,,571-967-9756,Delcastel,579-652-8495,86473,,
395,f,905 Springs Parkway,1952-06-09,JJ851189,,,D395,Garwood,M,f,,383-176-2927,O'Kennavain,122-369-0687,62455,,
396,f,13886 Oriole Trail,2004-10-04,DW645139,,,D396,Spenser,F,f,,203-901-0643,Rulten,669-523-5030,88708,,
397,t,321 Autumn Leaf Road,1997-04-06,J5934515,,,D397,Samara,M,t,,0,Tutin,157-327-9705,10358,,
398,t,521 Grayhawk Point,1961-01-26,EJ176622,,,D398,Kathryne,F,f,,222-808-6830,Frowen,530-380-5347,65180,,
399,f,627 Bunting Alley,2000-02-20,E3402376,,,D399,Rowland,M,t,,969-748-0188,Suero,409-805-7010,88487,,
400,t,131 Esker Lane,1982-08-15,JH030191,,,D400,Phillipp,F,f,,0,Freiburger,130-276-5983,81964,,
401,t,77595 Stone Corner Court,2017-01-03,VW112970,,,D401,Skippy,F,f,,294-651-2089,Fulkes,883-957-3359,79037,,
402,f,03 Meadow Ridge Circle,1958-10-26,P4570501,,,D402,Ilene,F,f,,196-922-1566,Whittenbury,895-672-5457,10157,,
403,t,33912 Fordem Way,1957-02-19,TU033390,,,D403,Fanni,M,f,,870-920-3652,Burborough,864-567-8068,16235,,
404,t,0401 Kingsford Parkway,1962-08-07,JZ779860,,,D404,Shirleen,M,f,,0,Provost,662-833-7834,92863,,
405,f,49589 Johnson Center,1955-09-25,K6604931,,,D405,Sonnie,F,f,,582-174-7482,Irnys,962-716-5212,56702,,
406,t,418 Manitowish Alley,1973-12-05,CJ479259,,,D406,Brunhilde,M,t,,238-847-2474,Gaucher,845-950-4301,72041,,
407,t,57 Aberg Pass,2008-12-03,LC643262,,,D407,Nelson,M,f,,563-791-0500,Selby,230-151-2095,47364,,
408,f,25 Fulton Park,1961-08-29,X8087411,,,D408,Erny,F,f,,0,Tanner,274-153-8383,26761,,
409,f,53 Mallard Park,1983-09-23,X5758039,,,D409,Wendall,M,f,,0,Van Arsdalen,593-138-8545,44347,,
410,t,934 Sloan Park,2013-04-15,MQ794457,,,D410,Eyde,F,f,,446-465-2162,Maase,267-886-3679,16665,,
411,f,04 Calypso Terrace,1980-02-11,RG546971,,,D411,Gabby,F,f,,222-278-6637,Gutridge,864-371-1146,15864,,
412,t,10 Debra Lane,1982-06-12,GV707388,,,D412,Bartlet,M,f,,901-334-1449,Luety,662-170-6977,22869,,
413,f,26 Walton Parkway,1960-03-18,GL119238,,,D413,Tildi,M,f,,384-537-9571,Kenyam,850-110-9475,63776,,
414,t,3 Stoughton Point,1962-02-20,VP356296,,,D414,Gale,M,f,,0,Drinan,167-985-2618,91947,,
415,f,73010 4th Hill,2013-08-10,CR139137,,,D415,Dianna,F,f,,0,Sutliff,387-454-0646,45858,,
416,t,7835 Moose Point,1969-04-02,PV152162,,,D416,Clemence,M,t,,0,Cluelow,481-655-4058,25542,,
417,t,266 Old Shore Center,1962-04-27,TX353663,,,D417,Carolus,F,f,,565-756-8112,Carlett,195-511-2991,38627,,
418,t,42744 Summit Court,1997-05-18,JE117127,,,D418,Maggie,M,f,,537-979-4293,Dielhenn,927-418-5937,87134,,
419,t,53601 Dryden Terrace,1988-04-12,JF372302,,,D419,Niles,M,t,,111-801-9481,Hurdle,875-380-6313,14428,,
420,t,95 Havey Circle,1970-12-18,V1320433,,,D420,Garek,M,t,,602-491-0938,Kimmings,450-485-5546,63151,,
421,t,1003 Randy Pass,1983-08-22,LI545882,,,D421,Fawnia,M,t,,875-797-3707,Van Baaren,630-921-4846,41277,,
422,f,977 Sloan Circle,2017-10-01,G0840987,,,D422,Dalt,F,f,,723-582-9308,Fain,225-474-2617,76736,,
423,t,473 Fairview Trail,1998-07-04,LJ751861,,,D423,Lynda,F,t,,301-232-3982,Spira,933-340-7692,63561,,
424,t,3 Lakeland Drive,1994-08-14,ZL662540,,,D424,Adaline,F,t,,799-706-6651,Husbands,163-371-4735,11254,,
425,t,545 Novick Pass,1957-05-08,B3011200,,,D425,Walther,F,t,,385-311-3099,Shales,490-344-6163,43795,,
426,t,9 Reindahl Center,1988-01-08,M7532726,,,D426,Alphard,F,t,,220-491-1087,Burchmore,232-203-8930,64536,,
427,t,24099 Fisk Crossing,1961-03-05,QB464516,,,D427,Adorne,F,f,,127-479-9869,Bonett,517-818-9427,53238,,
428,t,58967 Green Center,1964-08-04,F2050019,,,D428,Demetri,M,f,,517-315-9526,Zima,989-695-6104,66917,,
429,t,49333 Brentwood Alley,2014-03-20,H4299838,,,D429,Ranice,F,t,,0,Mallows,460-444-7211,85182,,
